Person,Top Matches
Person_14,"Person_59 (score: 1.0), Person_98 (score: 0.99), Person_51 (score: 0.87), Person_61 (score: 0.78), Person_40 (score: 0.5)"
Person_40,"Person_51 (score: 1.0), Person_98 (score: 0.93), Person_61 (score: 0.63), Person_59 (score: 0.55), Person_14 (score: 0.5)"
Person_51,"Person_98 (score: 1.0), Person_40 (score: 1.0), Person_61 (score: 0.8), Person_14 (score: 0.73), Person_59 (score: 0.5)"
Person_59,"Person_14 (score: 1.0), Person_61 (score: 0.91), Person_98 (score: 0.85), Person_51 (score: 0.78), Person_40 (score: 0.5)"
Person_61,"Person_98 (score: 1.0), Person_59 (score: 0.89), Person_51 (score: 0.89), Person_14 (score: 0.73), Person_40 (score: 0.5)"
Person_98,"Person_51 (score: 1.0), Person_61 (score: 0.94), Person_14 (score: 0.91), Person_40 (score: 0.83), Person_59 (score: 0.5)"
Person_18,"Person_39 (score: 1.0), Person_45 (score: 0.92), Person_47 (score: 0.5)"
Person_39,"Person_18 (score: 1.0), Person_45 (score: 0.56), Person_47 (score: 0.5)"
Person_45,"Person_47 (score: 1.0), Person_18 (score: 0.87), Person_39 (score: 0.5)"
Person_47,"Person_45 (score: 1.0), Person_18 (score: 0.74), Person_39 (score: 0.5)"
Person_6,"Person_12 (score: 1.0), Person_79 (score: 0.77), Person_34 (score: 0.67), Person_17 (score: 0.5)"
Person_12,"Person_79 (score: 1.0), Person_6 (score: 1.0), Person_17 (score: 0.69), Person_34 (score: 0.5)"
Person_17,"Person_12 (score: 1.0), Person_79 (score: 0.94), Person_34 (score: 0.94), Person_6 (score: 0.5)"
Person_34,"Person_79 (score: 1.0), Person_17 (score: 0.97), Person_12 (score: 0.88), Person_6 (score: 0.5)"
Person_79,"Person_12 (score: 1.0), Person_34 (score: 0.6), Person_17 (score: 0.57), Person_6 (score: 0.5)"
Person_24,"Person_92 (score: 1.0), Person_50 (score: 0.92), Person_37 (score: 0.66), Person_93 (score: 0.64), Person_25 (score: 0.5)"
Person_25,"Person_50 (score: 1.0), Person_93 (score: 0.89), Person_37 (score: 0.86), Person_24 (score: 0.57), Person_92 (score: 0.5)"
Person_37,"Person_25 (score: 1.0), Person_93 (score: 0.99), Person_50 (score: 0.86), Person_92 (score: 0.83), Person_24 (score: 0.5)"
Person_50,"Person_25 (score: 1.0), Person_24 (score: 0.93), Person_92 (score: 0.83), Person_37 (score: 0.8), Person_93 (score: 0.5)"
Person_92,"Person_24 (score: 1.0), Person_50 (score: 0.83), Person_37 (score: 0.78), Person_93 (score: 0.71), Person_25 (score: 0.5)"
Person_93,"Person_25 (score: 1.0), Person_37 (score: 0.95), Person_92 (score: 0.77), Person_24 (score: 0.71), Person_50 (score: 0.5)"
Person_32,Person_35 (score: nan)
Person_35,Person_32 (score: nan)
Person_27,"Person_52 (score: 1.0), Person_67 (score: 0.92), Person_64 (score: 0.5)"
Person_52,"Person_27 (score: 1.0), Person_67 (score: 0.86), Person_64 (score: 0.5)"
Person_64,"Person_67 (score: 1.0), Person_52 (score: 0.81), Person_27 (score: 0.5)"
Person_67,"Person_64 (score: 1.0), Person_27 (score: 0.58), Person_52 (score: 0.5)"
Person_33,"Person_83 (score: 1.0), Person_73 (score: 0.94), Person_99 (score: 0.71), Person_41 (score: 0.5)"
Person_41,"Person_83 (score: 1.0), Person_99 (score: 0.78), Person_73 (score: 0.55), Person_33 (score: 0.5)"
Person_73,"Person_83 (score: 1.0), Person_33 (score: 0.8), Person_99 (score: 0.62), Person_41 (score: 0.5)"
Person_83,"Person_73 (score: 1.0), Person_41 (score: 0.87), Person_33 (score: 0.86), Person_99 (score: 0.5)"
Person_99,"Person_41 (score: 1.0), Person_33 (score: 0.89), Person_73 (score: 0.87), Person_83 (score: 0.5)"
Person_19,"Person_100 (score: 1.0), Person_85 (score: 0.5)"
Person_85,"Person_100 (score: 1.0), Person_19 (score: 0.5)"
Person_100,"Person_85 (score: 1.0), Person_19 (score: 0.5)"
Person_4,"Person_31 (score: 1.0), Person_15 (score: 0.81), Person_68 (score: 0.81), Person_75 (score: 0.62), Person_80 (score: 0.5)"
Person_15,"Person_68 (score: 1.0), Person_4 (score: 0.72), Person_80 (score: 0.52), Person_75 (score: 0.5), Person_31 (score: 0.5)"
Person_31,"Person_4 (score: 1.0), Person_80 (score: 0.94), Person_75 (score: 0.85), Person_15 (score: 0.83), Person_68 (score: 0.5)"
Person_68,"Person_15 (score: 1.0), Person_4 (score: 0.86), Person_75 (score: 0.8), Person_80 (score: 0.64), Person_31 (score: 0.5)"
Person_75,"Person_80 (score: 1.0), Person_31 (score: 0.59), Person_68 (score: 0.58), Person_4 (score: 0.57), Person_15 (score: 0.5)"
Person_80,"Person_75 (score: 1.0), Person_31 (score: 0.87), Person_15 (score: 0.76), Person_4 (score: 0.74), Person_68 (score: 0.5)"
Person_28,"Person_63 (score: 1.0), Person_84 (score: 0.57), Person_60 (score: 0.5)"
Person_60,"Person_28 (score: 1.0), Person_63 (score: 0.58), Person_84 (score: 0.5)"
Person_63,"Person_28 (score: 1.0), Person_84 (score: 0.57), Person_60 (score: 0.5)"
Person_84,"Person_28 (score: 1.0), Person_63 (score: 0.7), Person_60 (score: 0.5)"
Person_29,"Person_46 (score: 1.0), Person_89 (score: 0.5)"
Person_46,"Person_29 (score: 1.0), Person_89 (score: 0.5)"
Person_89,"Person_46 (score: 1.0), Person_29 (score: 0.5)"
Person_42,"Person_96 (score: 1.0), Person_56 (score: 0.5)"
Person_56,"Person_42 (score: 1.0), Person_96 (score: 0.5)"
Person_96,"Person_42 (score: 1.0), Person_56 (score: 0.5)"
Person_3,"Person_23 (score: 1.0), Person_76 (score: 0.66), Person_77 (score: 0.5)"
Person_23,"Person_3 (score: 1.0), Person_77 (score: 0.6), Person_76 (score: 0.5)"
Person_76,"Person_77 (score: 1.0), Person_23 (score: 0.99), Person_3 (score: 0.5)"
Person_77,"Person_23 (score: 1.0), Person_76 (score: 0.99), Person_3 (score: 0.5)"
